Varietatea organismelor vii de pe Pamant|Ce este biodiversitatea?;Ce este urbanizarea?;Ce este poluarea?;Ce este industrializarea?|Ce este biodiversitatea?|Biodiversitate|Usoara|100
Extinctie in masa|Ce este extinctia in masa?;Ce este adaptarea?;Ce este migratia?;Ce este evolutia?|Ce este extinctia in masa?|Biodiversitate|Grea|300
Adaptare la mediu|Ce este adaptarea?;Ce este extinctia?;Ce este migratia?;Ce este evolutia?|Ce este adaptarea?|Biodiversitate|Medie|200
Specii protejate|Ce sunt speciile protejate?;Ce sunt speciile invazive?;Ce sunt speciile domestice?;Ce sunt speciile comune?|Ce sunt speciile protejate?|Biodiversitate|Medie|200
Ecosistem|Ce este ecosistemul?;Ce este habitatul?;Ce este clima?;Ce este relieful?|Ce este ecosistemul?|Biodiversitate|Medie|200

Fotosinteza|Ce este fotosinteza?;Ce este respiratia?;Ce este digestia?;Ce este excretia?|Ce este fotosinteza?|Biodiversitate|Usoara|100
Pradatori|Ce sunt pradatorii?;Ce sunt erbivorele?;Ce sunt omnivorele?;Ce sunt bacteriile?|Ce sunt pradatorii?|Biodiversitate|Usoara|100
Consumatori|Ce sunt consumatorii?;Ce sunt producatorii?;Ce sunt descompunatorii?;Ce sunt bacteriile?|Ce sunt consumatorii?|Biodiversitate|Medie|200
Producatori|Ce sunt producatorii?;Ce sunt consumatorii?;Ce sunt descompunatorii?;Ce sunt pradatorii?|Ce sunt producatorii?|Biodiversitate|Medie|200
Descompunatori|Ce sunt descompunatorii?;Ce sunt producatorii?;Ce sunt consumatorii?;Ce sunt pradatorii?|Ce sunt descompunatorii?|Biodiversitate|Medie|200

Relatie mutualista|Ce este mutualismul?;Ce este parazitismul?;Ce este competitia?;Ce este pradarea?|Ce este mutualismul?|Biodiversitate|Medie|200
Relatie parazitara|Ce este parazitismul?;Ce este mutualismul?;Ce este competitia?;Ce este cooperarea?|Ce este parazitismul?|Biodiversitate|Medie|200
Relatie cooperare|Ce este cooperarea?;Ce este parazitismul?;Ce este competitia?;Ce este pradarea?|Ce este cooperarea?|Biodiversitate|Usoara|100
Relatie competitie|Ce este competitia?;Ce este mutualismul?;Ce este parazitismul?;Ce este pradarea?|Ce este competitia?|Biodiversitate|Usoara|100
Habitat natural|Ce este habitatul?;Ce este ecosistemul?;Ce este biosfera?;Ce este relieful?|Ce este habitatul?|Biodiversitate|Usoara|100

Ecosistem global|Ce este biosfera?;Ce este ecosistemul?;Ce este habitatul?;Ce este populatia?|Ce este biosfera?|Biodiversitate|Medie|200
Adaptare la mediu|Ce este adaptarea?;Ce este extinctia?;Ce este migratia?;Ce este evolutia?|Ce este adaptarea?|Biodiversitate|Medie|200
Lant trofic|Ce este lantul trofic?;Ce este ecosistemul?;Ce este biosfera?;Ce este habitatul?|Ce este lantul trofic?|Biodiversitate|Medie|200
Retea trofica|Ce este reteaua trofica?;Ce este lantul trofic?;Ce este ecosistemul?;Ce este habitatul?|Ce este reteaua trofica?|Biodiversitate|Grea|300
Echilibru natural|Ce este echilibrul ecologic?;Ce este poluarea?;Ce este urbanizarea?;Ce este industrializarea?|Ce este echilibrul ecologic?|Biodiversitate|Grea|300
